City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
4,Atuona,PF,77.2,broken clouds,-9.8,-139.0333,Villa Enata
5,Ohara,JP,74.82,clear sky,35.25,140.3833,Sakigake
7,Puerto Rondon,CO,84.45,scattered clouds,6.2805,-71.1,Urbanización Santa Clara
8,Misratah,LY,79.54,clear sky,32.3754,15.0925,Almasa Hotel
11,Bethel,US,84.04,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
12,Normandin,CA,80.91,broken clouds,48.8333,-72.5321,Chambres MB Normandin (Lac St -Jean)
13,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,Jamestown,US,81.95,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
17,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
18,Axim,GH,75.74,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
22,Butaritari,KI,82.63,few clouds,3.0707,172.7902,Isles Sunset Lodge
24,Sao Gabriel Da Cachoeira,BR,78.96,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
25,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
31,Drumheller,CA,78.13,broken clouds,51.4617,-112.7101,Ramada by Wyndham Drumheller Hotel & Suites
35,Lubao,PH,82.11,broken clouds,14.9167,120.55,Hacienda Gracia
36,Hambantota,LK,80.94,light rain,6.1241,81.1185,Bungalow 63
40,Jacareacanga,BR,88.3,broken clouds,-6.2222,-57.7528,Casa do Ian😎
45,Wuhan,CN,89.69,few clouds,30.5833,114.2667,Novotel Wuhan Xinhua Hotel
48,Quatre Cocos,MU,70.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
49,Bonthe,SL,76.64,light rain,7.5264,-12.505,Bonthe Holiday Village
52,Lompoc,US,86.14,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
