City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,54.97,63,99,1.81,overcast clouds
1,New Norfolk,AU,-42.7826,147.0587,49.5,79,100,3.15,overcast clouds
2,Vaini,TO,-21.2,-175.2,75.36,88,75,9.22,broken clouds
3,Cape Town,ZA,-33.9258,18.4232,56.37,86,0,2.3,clear sky
4,Atuona,PF,-9.8,-139.0333,77.2,79,54,18.59,broken clouds
5,Ohara,JP,35.25,140.3833,74.82,92,8,2.55,clear sky
6,Hobart,AU,-42.8794,147.3294,49.86,81,75,12.66,broken clouds
7,Puerto Rondon,CO,6.2805,-71.1,84.45,67,34,2.98,scattered clouds
8,Misratah,LY,32.3754,15.0925,79.54,59,0,6.17,clear sky
9,Punta Arenas,CL,-53.15,-70.9167,32.11,80,20,3.44,few clouds
10,Port Alfred,ZA,-33.5906,26.891,59.2,77,82,18.5,light rain
11,Bethel,US,41.3712,-73.414,84.04,43,0,5.75,clear sky
12,Normandin,CA,48.8333,-72.5321,80.91,38,83,5.75,broken clouds
13,Puerto Ayora,EC,-0.7393,-90.3518,80.56,90,55,8.01,broken clouds
14,Bilma,NE,18.6853,12.9164,95.13,22,93,9.24,overcast clouds
15,Kaitangata,NZ,-46.2817,169.8464,38.71,84,63,6.31,broken clouds
16,Jamestown,US,42.097,-79.2353,81.95,30,0,5.75,clear sky
17,Avarua,CK,-21.2078,-159.775,77.05,50,75,8.05,broken clouds
18,Axim,GH,4.8699,-2.2405,75.74,83,70,7.67,broken clouds
19,Cherskiy,RU,68.75,161.3,54.59,50,96,9.66,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,32.49,91,58,3.85,broken clouds
21,Bredasdorp,ZA,-34.5322,20.0403,49.5,85,57,6.58,broken clouds
22,Butaritari,KI,3.0707,172.7902,82.63,77,16,16.96,few clouds
23,Ushuaia,AR,-54.8,-68.3,33.46,69,40,3.44,scattered clouds
24,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.96,89,67,2.21,broken clouds
25,Kapaa,US,22.0752,-159.319,84.52,72,20,17.27,few clouds
26,Kodiak,US,57.79,-152.4072,60.31,63,100,14.97,overcast clouds
27,Maceio,BR,-9.6658,-35.7353,76.44,78,20,5.75,few clouds
28,Barrow,US,71.2906,-156.7887,60.82,67,75,4.61,broken clouds
29,Chuy,UY,-33.6971,-53.4616,65.84,87,23,7.14,few clouds
30,Bluff,NZ,-46.6,168.3333,32.81,80,68,15.52,broken clouds
31,Drumheller,CA,51.4617,-112.7101,78.13,31,65,8.05,broken clouds
32,Chikwawa,MW,-16.0335,34.8009,65.8,77,24,2.48,few clouds
33,Coahuayana,MX,18.7333,-103.6833,90.93,56,69,7.94,broken clouds
34,Yulara,AU,-25.2406,130.9889,43.2,48,0,6.22,clear sky
35,Lubao,PH,14.9167,120.55,82.11,91,72,2.19,broken clouds
36,Hambantota,LK,6.1241,81.1185,80.94,78,40,13.8,light rain
37,Kununurra,AU,-15.7667,128.7333,46.38,76,8,0.0,clear sky
38,Trinidad,BO,-14.8333,-64.9,91.38,46,20,10.36,few clouds
39,Ippy,CF,6.2679,21.2247,69.96,94,100,1.88,overcast clouds
40,Jacareacanga,BR,-6.2222,-57.7528,88.3,45,61,3.18,broken clouds
41,Constitucion,CL,-35.3333,-72.4167,51.78,75,26,0.54,scattered clouds
42,Saint-Pierre,RE,-21.3393,55.4781,67.91,73,0,8.05,clear sky
